                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.5514,                 3.2146,                 1.2748,                      0,                      0,                      0,                      0,                      0,                 35.968,                      0,             5.8176e-05,             5.8176e-05,             5.8176e-05
                     39,                 1.5655,                   3.32,                  1.367,                      0,                      0,                      0,                      0,                      0,                 36.061,                      0,             5.5324e-05,             5.5324e-05,             5.5324e-05
                     40,                 1.4749,                 3.2952,                 1.3211,                      0,                      0,                      0,                      0,                      0,                 36.061,                      0,             5.2239e-05,             5.2239e-05,             5.2239e-05
                     41,                 1.5223,                 2.9486,                 1.2982,                      0,                      0,                      0,                      0,                      0,                 36.175,                      0,             4.8922e-05,             4.8922e-05,             4.8922e-05
                     42,                 1.6573,                 3.0762,                 1.3546,                      0,                      0,                      0,                      0,                      0,                 36.175,                      0,             4.5371e-05,             4.5371e-05,             4.5371e-05
                     43,                 1.5231,                 2.9009,                 1.3277,                      0,                      0,                      0,                      0,                      0,                 36.353,                      0,             4.1588e-05,             4.1588e-05,             4.1588e-05
                     44,                 1.6891,                 2.9741,                 1.3669,                      0,                      0,                      0,                      0,                      0,                 36.353,                      0,             3.7572e-05,             3.7572e-05,             3.7572e-05
                     45,                 1.6494,                 2.9795,                 1.3562,                      0,                      0,                      0,                      0,                      0,                  36.54,                      0,             3.3323e-05,             3.3323e-05,             3.3323e-05
                     46,                 1.5505,                 2.9317,                  1.304,                      0,                      0,                      0,                      0,                      0,                  36.54,                      0,             2.8841e-05,             2.8841e-05,             2.8841e-05
                     47,                 1.4575,                 2.7589,                 1.2552,                      0,                      0,                      0,                      0,                      0,                 36.715,                      0,             2.4127e-05,             2.4127e-05,             2.4127e-05
                     48,                 1.4504,                 2.9693,                 1.3723,                      0,                      0,                      0,                      0,                      0,                 36.715,                      0,             1.9179e-05,             1.9179e-05,             1.9179e-05
                     49,                 1.5068,                 2.8384,                 1.3286,                      0,                      0,                      0,                      0,                      0,                 36.831,                      0,             1.3999e-05,             1.3999e-05,             1.3999e-05
                     50,                 1.5855,                 2.8262,                 1.2545,                      0,                      0,                      0,                      0,                      0,                 36.831,                      0,              8.586e-06,              8.586e-06,              8.586e-06
